1491,55.0
3329,57.5
1519,52.5
1464,47.5
1732,72.5
1311,NA
1250,50.0
2084,60.0
3063,37.5
3416,72.5
1974,40.0
1065,72.5
1041,47.5
1889,50.0
2906,62.5
2459,40.0
1718,57.5
3365,15.0
3457,40.0
2531,67.5
2893,40.0
298,NA
2142,40.0
3066,37.5
813,22.5
2880,42.5
1458,35.0
1955,50.0
3441,52.5
2624,55.0
2956,32.5
3149,50.0
2440,50.0
1579,30.0
318,60.0
1721,32.5
1512,32.5
3239,55.0
1299,60.0
433,27.5
3339,50.0
1148,35.0
312,65.0
3046,57.5
1025,67.5
1767,47.5
1965,40.0
725,30.0
2052,42.5
1833,NA
295,47.5
3230,37.5
2331,65.0
2908,42.5
1928,55.0
3057,32.5
329,65.0
2304,35.0
2943,67.5
3494,37.5
1201,NA
2841,50.0
36,52.5
1330,32.5
3202,75.0
2922,67.5
2388,52.5
1813,27.5
1955,50.0
2598,37.5
2505,42.5
1365,35.0
2078,40.0
1725,37.5
1633,65.0
107,45.0
2420,40.0
3309,57.5
3453,42.5
71,60.0
2984,62.5
3049,32.5
787,NA
731,60.0
2896,32.5
3378,45.0
3237,20.0
2112,57.5
1721,32.5
1031,62.5
174,35.0
1400,52.5
2255,57.5
844,40.0
1841,62.5
491,55.0
733,50.0
1123,40.0
2037,42.5
1866,55.0
3443,NA
31,47.5
2775,27.5
3272,35.0
3235,52.5
2485,42.5
2878,57.5
214,50.0
1962,50.0
2549,27.5
1394,NA
1773,57.5
1728,37.5
1881,52.5
972,42.5
685,32.5
1853,52.5
3212,45.0
3079,47.5
2093,NA
2590,62.5
2900,NA
2883,70.0
2469,40.0
1297,37.5
950,37.5
1419,25.0
2514,72.5
3134,40.0
1093,45.0
915,32.5
2586,50.0
760,60.0
2247,22.5
2526,47.5
803,32.5
2910,NA
1937,57.5
2068,50.0
365,42.5
3359,65.0
3181,40.0
1589,32.5
911,55.0
3317,50.0
2145,55.0
1599,52.5
1561,37.5
610,45.0
1629,25.0
508,47.5
2509,75.0
2393,67.5
1110,37.5
956,27.5
1202,62.5
2951,62.5
173,57.5
3389,30.0
635,27.5
3002,50.0
1710,45.0
2678,32.5
1466,65.0
1010,30.0
695,55.0
1917,30.0
3226,55.0
3037,NA
2261,75.0
2186,60.0
1332,45.0
1012,50.0
2442,67.5
20,32.5
824,35.0
1014,52.5
3423,NA
13,30.0
873,32.5
65,42.5
1171,32.5
2464,65.0
1446,35.0
2581,52.5
3410,45.0
543,40.0
81,57.5
1807,40.0
3312,50.0
2690,30.0
3054,35.0
2644,57.5
1872,57.5
1638,55.0
2319,42.5
2267,25.0
1159,57.5
500,47.5
2826,45.0
1971,37.5
2216,32.5
652,45.0
2136,55.0
3090,62.5
348,52.5
1682,32.5
182,45.0
1801,NA
1241,30.0
1159,57.5
46,47.5
840,35.0
1527,35.0
99,60.0
621,55.0
2098,30.0
864,52.5
888,47.5
2165,55.0
2896,32.5
2262,50.0
3289,47.5
2834,45.0
1673,50.0
1519,52.5
2475,45.0
2945,35.0
1366,52.5
1972,42.5
3294,52.5
3078,42.5
2248,35.0
1349,35.0
2718,30.0
2465,NA
